precision,recall,f1,roc_auc,detection_rate,false_positive_rate,confusion_matrix,model,cv_f1_mean,cv_f1_std,train_time_s,best_params
0.9339805825242719,0.9648946840521565,0.949185989146522,0.9838127069020083,0.9648946840521565,0.02270450751252087,"{'tn': 2927, 'fp': 68, 'fn': 35, 'tp': 962}",decision_tree,0.9823742574135468,0.0014991356958382503,9.08,"{'max_depth': 10, 'min_samples_split': 10}"
0.9490196078431372,0.970912738214644,0.9598413485374319,0.9973583521851028,0.970912738214644,0.01736227045075125,"{'tn': 2943, 'fp': 52, 'fn': 29, 'tp': 968}",random_forest,0.9878027949075406,0.0012221091738337064,111.65,"{'max_depth': None, 'n_estimators': 100}"
0.9622266401590457,0.970912738214644,0.9665501747378932,0.9982277383067399,0.970912738214644,0.012687813021702838,"{'tn': 2957, 'fp': 38, 'fn': 29, 'tp': 968}",xgboost,0.989697106337126,0.0012736643764575946,20.69,"{'learning_rate': 0.3, 'max_depth': 4, 'n_estimators': 200}"
0.8880733944954129,0.970912738214644,0.9276473406804024,0.9914742558225594,0.970912738214644,0.04073455759599332,"{'tn': 2873, 'fp': 122, 'fn': 29, 'tp': 968}",logistic_regression,0.9689554106306897,0.0021079416837808946,0.75,{'C': 10.0}
0.9117100371747212,0.9839518555667001,0.9464544138929089,0.9947922230799243,0.9839518555667001,0.03171953255425709,"{'tn': 2900, 'fp': 95, 'fn': 16, 'tp': 981}",svm,0.9788532651190233,0.0026822329345602067,87.56,"{'C': 10.0, 'gamma': 'scale'}"
0.8618246235606731,0.9759277833500501,0.9153339604891816,0.9782465928670822,0.9759277833500501,0.05208681135225376,"{'tn': 2839, 'fp': 156, 'fn': 24, 'tp': 973}",knn,0.9702303144553639,0.002114691137360379,4.77,{'n_neighbors': 3}
